Taille;Morphologie;Methode;Nb_visites;Temps
10;ABR_complet;naif;23;0.000
10;ABR_complet;definition;10;0.000
10;ABR_complet;infixe;10;0.000
10;non_ABR_complet;naif;3;0.000
10;non_ABR_complet;definition;7;0.000
10;non_ABR_complet;infixe;7;0.000
10;ABR_filiforme;naif;26;0.000
10;ABR_filiforme;definition;10;0.000
10;ABR_filiforme;infixe;10;0.000
10;non_ABR_filiforme;naif;11;0.000
10;non_ABR_filiforme;definition;10;0.000
10;non_ABR_filiforme;infixe;4;0.000
10;ABR_quelconque;naif;23;1.000
10;ABR_quelconque;definition;10;0.000
10;ABR_quelconque;infixe;10;0.000
10;non_ABR_quelconque;naif;10;0.000
10;non_ABR_quelconque;definition;5;0.000
10;non_ABR_quelconque;infixe;4;0.000
20;ABR_complet;naif;51;0.000
20;ABR_complet;definition;20;0.000
20;ABR_complet;infixe;20;0.000
20;non_ABR_complet;naif;4;0.000
20;non_ABR_complet;definition;6;0.000
20;non_ABR_complet;infixe;6;0.000
20;ABR_filiforme;naif;56;1.000
20;ABR_filiforme;definition;20;0.000
20;ABR_filiforme;infixe;20;0.000
20;non_ABR_filiforme;naif;4;0.000
20;non_ABR_filiforme;definition;20;0.000
20;non_ABR_filiforme;infixe;7;0.000
20;ABR_quelconque;naif;54;0.000
20;ABR_quelconque;definition;20;0.000
20;ABR_quelconque;infixe;20;0.000
20;non_ABR_quelconque;naif;4;0.000
20;non_ABR_quelconque;definition;8;0.000
20;non_ABR_quelconque;infixe;8;0.000
30;ABR_complet;naif;81;1.000
30;ABR_complet;definition;30;0.000
30;ABR_complet;infixe;30;0.000
30;non_ABR_complet;naif;5;0.000
30;non_ABR_complet;definition;6;0.000
30;non_ABR_complet;infixe;5;0.000
30;ABR_filiforme;naif;87;0.000
30;ABR_filiforme;definition;30;1.000
30;ABR_filiforme;infixe;30;0.000
30;non_ABR_filiforme;naif;2;0.000
30;non_ABR_filiforme;definition;30;0.000
30;non_ABR_filiforme;infixe;2;0.000
30;ABR_quelconque;naif;82;0.000
30;ABR_quelconque;definition;30;1.000
30;ABR_quelconque;infixe;30;0.000
30;non_ABR_quelconque;naif;3;0.000
30;non_ABR_quelconque;definition;6;0.000
30;non_ABR_quelconque;infixe;6;0.000
40;ABR_complet;naif;109;0.000
40;ABR_complet;definition;40;0.000
40;ABR_complet;infixe;40;1.000
40;non_ABR_complet;naif;5;0.000
40;non_ABR_complet;definition;7;0.000
40;non_ABR_complet;infixe;6;0.000
40;ABR_filiforme;naif;117;0.000
40;ABR_filiforme;definition;40;1.000
40;ABR_filiforme;infixe;40;0.000
40;non_ABR_filiforme;naif;2;0.000
40;non_ABR_filiforme;definition;40;0.000
40;non_ABR_filiforme;infixe;2;0.000
40;ABR_quelconque;naif;110;0.000
40;ABR_quelconque;definition;40;1.000
40;ABR_quelconque;infixe;40;0.000
40;non_ABR_quelconque;naif;7;0.000
40;non_ABR_quelconque;definition;7;0.000
40;non_ABR_quelconque;infixe;7;0.000
50;ABR_complet;naif;139;1.000
50;ABR_complet;definition;50;0.000
50;ABR_complet;infixe;50;0.000
50;non_ABR_complet;naif;11;0.000
50;non_ABR_complet;definition;7;0.000
50;non_ABR_complet;infixe;6;0.000
50;ABR_filiforme;naif;147;1.000
50;ABR_filiforme;definition;50;0.000
50;ABR_filiforme;infixe;50;0.000
50;non_ABR_filiforme;naif;7;0.000
50;non_ABR_filiforme;definition;50;1.000
50;non_ABR_filiforme;infixe;3;0.000
50;ABR_quelconque;naif;139;0.000
50;ABR_quelconque;definition;50;1.000
50;ABR_quelconque;infixe;50;0.000
50;non_ABR_quelconque;naif;3;0.000
50;non_ABR_quelconque;definition;6;0.000
50;non_ABR_quelconque;infixe;6;0.000
60;ABR_complet;naif;169;1.000
60;ABR_complet;definition;60;0.000
60;ABR_complet;infixe;60;0.000
60;non_ABR_complet;naif;6;0.000
60;non_ABR_complet;definition;7;0.000
60;non_ABR_complet;infixe;6;0.000
60;ABR_filiforme;naif;177;1.000
60;ABR_filiforme;definition;60;1.000
60;ABR_filiforme;infixe;60;0.000
60;non_ABR_filiforme;naif;2;0.000
60;non_ABR_filiforme;definition;60;0.000
60;non_ABR_filiforme;infixe;4;0.000
60;ABR_quelconque;naif;166;1.000
60;ABR_quelconque;definition;60;0.000
60;ABR_quelconque;infixe;60;1.000
60;non_ABR_quelconque;naif;11;0.000
60;non_ABR_quelconque;definition;5;0.000
60;non_ABR_quelconque;infixe;5;0.000
70;ABR_complet;naif;197;0.000
70;ABR_complet;definition;70;1.000
70;ABR_complet;infixe;70;0.000
70;non_ABR_complet;naif;11;0.000
70;non_ABR_complet;definition;8;0.000
70;non_ABR_complet;infixe;8;0.000
70;ABR_filiforme;naif;207;1.000
70;ABR_filiforme;definition;70;0.000
70;ABR_filiforme;infixe;70;1.000
70;non_ABR_filiforme;naif;2;0.000
70;non_ABR_filiforme;definition;70;0.000
70;non_ABR_filiforme;infixe;2;0.000
70;ABR_quelconque;naif;200;1.000
70;ABR_quelconque;definition;70;0.000
70;ABR_quelconque;infixe;70;0.000
70;non_ABR_quelconque;naif;22;0.000
70;non_ABR_quelconque;definition;6;0.000
70;non_ABR_quelconque;infixe;6;0.000
80;ABR_complet;naif;227;1.000
80;ABR_complet;definition;80;1.000
80;ABR_complet;infixe;80;0.000
80;non_ABR_complet;naif;11;0.000
80;non_ABR_complet;definition;8;0.000
80;non_ABR_complet;infixe;8;0.000
80;ABR_filiforme;naif;237;1.000
80;ABR_filiforme;definition;80;1.000
80;ABR_filiforme;infixe;80;0.000
80;non_ABR_filiforme;naif;4;0.000
80;non_ABR_filiforme;definition;80;1.000
